1648814400000,3285.10,3285.65,3271.52,3275.75,2102368,1648815299999,6411.49821314,4964,952026,2903.49386347,0
1648815300000,3275.75,3278.07,3262.22,3269.90,3311303,1648816199999,10128.02410910,6680,1563594,4782.94344131,0
1648816200000,3269.90,3311.95,3264.21,3296.30,9424776,1648817099999,28595.49618924,18639,4865809,14767.65598861,0
1648817100000,3296.30,3313.73,3293.35,3308.44,2544857,1648817999999,7705.68677462,5592,1499784,4541.56797660,0
1648818000000,3308.44,3326.62,3308.44,3324.25,3554281,1648818899999,10703.08240276,7609,1674716,5044.11252327,0
1648818900000,3324.26,3348.35,3323.18,3339.45,4817784,1648819799999,14433.15271771,10527,2706601,8110.71557918,0
1648819800000,3339.46,3367.24,3338.09,3357.95,6407969,1648820699999,19090.88730303,13183,3591245,10699.32359500,0
1648820700000,3357.95,3360.00,3339.00,3349.24,4074265,1648821599999,12166.91366486,8184,1892685,5652.08718237,0
1648821600000,3349.24,3390.55,3349.24,3386.17,8122939,1648822499999,24091.05883074,15047,4599290,13642.32382178,0
1648822500000,3386.17,3388.27,3370.83,3378.43,2946691,1648823399999,8724.76962352,6240,1490374,4413.35683342,0
1648823400000,3378.43,3396.36,3376.21,3390.69,5177911,1648824299999,15288.87919952,11046,2869777,8473.59821675,0
1648824300000,3390.69,3426.32,3389.59,3422.55,7614573,1648825199999,22345.38949710,15661,3930469,11533.50279210,0
1648825200000,3422.55,3441.53,3414.67,3429.57,11086829,1648826099999,32340.32851373,21744,5633185,16432.31316217,0
1648826100000,3429.57,3456.25,3425.51,3435.44,11669874,1648826999999,33892.20990005,23301,6182477,17957.69291387,0
1648827000000,3435.44,3443.57,3421.85,3441.25,5231538,1648827899999,15236.88989901,10717,2514233,7322.68221702,0
1648827900000,3441.25,3441.26,3428.74,3432.39,2632745,1648828799999,7665.98405204,5691,1162258,3384.66281699,0
1648828800000,3432.59,3446.45,3427.40,3438.68,4588229,1648829699999,13347.79112885,9377,2574493,7489.74322408,0
1648829700000,3438.68,3440.29,3423.51,3434.28,2512381,1648830599999,7324.33665137,4775,1244471,3628.26641497,0
1648830600000,3434.28,3434.28,3411.52,3428.96,4059533,1648831499999,11874.94102814,6764,1636070,4786.40880003,0
1648831500000,3428.95,3429.31,3410.37,3410.37,2969449,1648832399999,8680.25988939,5440,1280794,3743.28534709,0
1648832400000,3410.37,3430.22,3405.02,3430.22,4555755,1648833299999,13323.08152260,6981,2426190,7094.26100552,0
1648833300000,3430.22,3445.85,3424.27,3439.83,3881037,1648834199999,11297.61027554,6067,2355380,6855.95249720,0
1648834200000,3439.83,3471.14,3434.53,3468.30,5848717,1648835099999,16921.18623061,10256,3522781,10189.74193393,0
1648835100000,3468.29,3476.13,3459.45,3470.55,4151538,1648835999999,11977.01416166,7074,1925666,5556.47072209,0
1648836000000,3470.07,3482.46,3461.04,3466.68,4909796,1648836899999,14140.66183399,7675,2586223,7447.96278424,0
1648836900000,3466.75,3475.87,3457.05,3460.32,3097038,1648837799999,8936.75671203,5714,1309591,3779.09896569,0
1648837800000,3460.44,3463.61,3450.00,3450.00,2664334,1648838699999,7710.14405473,5649,1228159,3554.69323740,0
1648838700000,3450.01,3466.76,3446.75,3464.46,2593104,1648839599999,7498.55593787,5649,1374008,3973.87031742,0
1648839600000,3464.46,3471.21,3450.30,3452.70,2700673,1648840499999,7802.02959371,5378,1504024,4344.61309915,0
1648840500000,3452.70,3457.89,3446.42,3455.79,1354105,1648841399999,3922.34337306,3184,577398,1672.38841569,0
1648841400000,3455.80,3459.70,3449.28,3455.27,1623335,1648842299999,4699.99239479,3188,801649,2321.32017161,0
1648842300000,3455.27,3470.40,3453.42,3469.46,1945494,1648843199999,5615.50759156,3831,1070089,3089.20146257,0
1648843200000,3469.46,3472.33,3461.43,3465.90,927055,1648844099999,2674.48957588,2217,477132,1376.61621989,0
1648844100000,3465.86,3468.69,3451.21,3453.65,1159228,1648844999999,3351.33498317,2684,470354,1359.69484173,0
1648845000000,3453.64,3461.99,3451.87,3451.87,778427,1648845899999,2251.89369428,1893,402010,1163.10763983,0
1648845900000,3451.88,3455.38,3437.71,3441.92,1431570,1648846799999,4157.16268865,3502,545660,1584.48482814,0
1648846800000,3441.91,3460.71,3441.14,3459.53,1189297,1648847699999,3449.34872567,2223,620654,1799.43025698,0
1648847700000,3459.53,3460.68,3448.61,3460.68,768515,1648848599999,2225.60838925,1981,432409,1252.37460521,0
1648848600000,3460.68,3460.85,3452.65,3452.65,442354,1648849499999,1279.08570736,1333,177151,512.26160764,0
1648849500000,3452.65,3461.99,3450.77,3451.37,908142,1648850399999,2627.85174806,1869,584097,1689.93950431,0
1648850400000,3451.37,3457.48,3443.95,3453.95,1405023,1648851299999,4071.46048784,3500,600593,1740.43373770,0
1648851300000,3453.95,3454.17,3444.14,3449.42,1132970,1648852199999,3285.76857150,2952,545806,1583.14673772,0
1648852200000,3449.63,3455.09,3433.16,3436.21,1434923,1648853099999,4164.23163077,3335,677496,1965.12134844,0
1648853100000,3436.21,3451.65,3432.25,3451.65,1251836,1648853999999,3640.21580350,2769,753131,2189.34668521,0
1648854000000,3451.64,3451.64,3425.60,3437.42,1888849,1648854899999,5491.08332748,4329,793943,2307.98650437,0
1648854900000,3437.42,3444.05,3435.36,3437.64,910319,1648855799999,2645.74351283,2426,448313,1302.97162417,0
1648855800000,3437.65,3445.40,3432.60,3443.85,764429,1648856699999,2222.74878332,2342,380692,1107.02010483,0
1648856700000,3443.85,3456.68,3443.85,3456.11,967552,1648857599999,2803.30155649,2536,523812,1517.81601367,0
1648857600000,3456.12,3456.12,3439.42,3442.14,2054622,1648858499999,5966.52567630,4935,1068737,3104.31151091,0
1648858500000,3442.22,3456.93,3440.93,3456.15,770098,1648859399999,2231.68365837,2835,463425,1343.21877697,0
1648859400000,3456.15,3479.62,3454.15,3479.62,3468279,1648860299999,9993.75762778,7538,2070600,5966.54257070,0
1648860300000,3479.62,3525.00,3479.61,3512.84,12517275,1648861199999,35716.70017687,23533,7145070,20392.47491912,0
1648861200000,3512.85,3523.80,3502.61,3503.04,5003222,1648862099999,14246.08757481,10138,2053591,5847.48946617,0
1648862100000,3503.04,3503.04,3470.35,3470.87,6218232,1648862999999,17858.14862531,11395,2653327,7621.86361430,0
1648863000000,3470.89,3482.42,3468.42,3477.61,3676150,1648863899999,10575.23472075,7380,1740773,5008.65015724,0
1648863900000,3477.61,3489.20,3475.97,3482.69,2753741,1648864799999,7905.44978454,4914,1569728,4506.60482214,0
1648864800000,3482.69,3488.28,3477.85,3485.68,1928991,1648865699999,5536.14337759,3780,1032597,2963.79853985,0
1648865700000,3485.68,3494.39,3484.48,3489.69,885975,1648866599999,2537.98364740,1984,452976,1297.88871056,0
1648866600000,3489.69,3493.19,3444.24,3456.42,5786830,1648867499999,16710.15205403,12212,2433029,7029.11891389,0
1648867500000,3456.42,3473.00,3456.41,3468.58,2754244,1648868399999,7947.27540991,6076,1466684,4232.46326383,0
